"presence","fold","bio01","bio04","bio12","bio15","forest","shrub","grass","wetland","crop","urban"
0,2,22.3836283185841,43.2456784660767,1203.87610619469,50.2846607669617,0,0,0,1,0,0
0,1,22.0983606557377,53.1142324888226,847.809239940388,73.3502235469449,0,0,0,0,1,0
0,3,10.4,82.3063504464286,264.633928571429,32.5223214285714,0,0,0,0,0,1
0,1,9.31275571600481,86.9341516245487,1212.51504211793,9,1,0,0,0,0,0
1,3,7.47673830594185,63.5765107458913,1024.12515802781,71.2958280657396,1,0,0,0,0,0
0,2,8.7125159642401,75.8480332056194,1153.39208173691,11,1,0,0,0,0,0
1,2,6.0417773237998,81.6092339121553,482.199182839632,25,0,0,0,0,1,0
0,3,5.61352549889135,90.0908647450111,829.624168514413,15,1,0,0,0,0,0
0,1,9.6936754176611,86.1630787589499,1175.78162291169,10,0,0,0,0,0,1
1,2,6.18217213114754,81.0336680327869,478.410860655738,25.905737704918,0,0,0,0,0,1
1,1,13.0742346938776,29.0452168367347,755.544642857143,86.1913265306122,1,0,0,0,0,0
0,3,7.35567010309278,99.7305154639175,968.175257731959,17,1,0,0,0,0,0
0,3,10.442320441989,83.6815138121547,294.890607734807,36.3138121546961,0,0,0,0,1,0
0,3,10.4,83.2281132075472,312.89012208657,37.2475027746948,0,0,0,0,0,1
0,3,10.4446051167964,82.3339377085651,263.918798665184,32.7563959955506,0,0,0,0,1,0
0,3,-4.05231591448931,147.75703087886,311.947743467933,50.2036817102138,1,0,0,0,0,0
0,1,12.153670886076,86.0306329113924,1090.40506329114,11,0,0,0,0,0,1
0,2,21.1146005509642,76.2665151515152,256.932506887052,44.4628099173554,0,0,0,0,0,1
1,1,22.0258594917788,50.2415396113602,619.843049327354,72.6427503736921,0,0,0,0,0,1
0,3,18.846178343949,25.0585031847134,705.570063694267,99.0031847133758,0,0,0,0,1,0
1,2,18.2,45.7566759388039,255.495132127955,66.1808066759388,0,0,0,1,0,0
0,1,18.1,67.6441384180791,1499.5593220339,20,0,0,0,1,0,0
0,1,8.80627962085308,109.304514218009,836.063981042654,50,0,0,0,0,0,1
1,2,15.0786600496278,63.6874441687345,1196.20099255583,81.3697270471464,1,0,0,0,0,0
0,3,10.3796440489433,82.978765294772,311.963292547275,36.9187986651835,0,0,0,0,0,1
1,1,12.9140077821012,28.5663813229572,765.920881971466,85.3398184176394,1,0,0,0,0,0
1,2,8.90796703296703,59.8691208791209,746.54532967033,83.4450549450549,1,0,0,0,0,0
0,1,14.0475961538462,18.7206730769231,886.94391025641,89.224358974359,0,0,0,0,1,0
0,3,10.4695459579181,83.8918161683278,292.764119601329,36.4983388704319,0,0,0,0,1,0
1,3,10.8,91.4097270471464,408.255583126551,27.1153846153846,0,0,0,0,0,1
0,2,4.76544502617801,120.926701570681,442.906806282723,67.2041884816754,0,0,0,0,1,0
0,2,-7.54536243180047,141.325689789556,412,45,0,0,0,1,0,0
0,1,20.0987138263666,16.250884244373,1505.72829581994,102.627009646302,1,0,0,0,0,0
0,1,3.98734873487349,111.024796479648,816.512651265126,44.3872387238724,1,0,0,0,0,0
1,3,10.9,91.559786163522,416.500628930818,27.6779874213836,0,0,0,0,0,0
0,1,-3.46,130.070252365931,294.273186119874,80,1,0,0,0,0,0
1,3,13.9222784810127,40.0076455696203,845.532911392405,89.6949367088607,0,0,0,0,0,1
1,2,8.29643255295429,37.729375696767,2622.55518394649,41.2798216276477,0,1,0,0,0,0
0,1,-3.3878002528445,129.954007585335,295.140328697851,80.007585335019,1,0,0,0,0,0
1,2,9.49924731182796,51.7259247311828,2345.44408602151,61.636559139785,1,0,0,0,0,0
1,1,9.87208588957055,53.0558384458078,1296.08895705521,52.0858895705521,1,0,0,0,0,0
0,1,0.557511961722488,82.3848516746411,586.2,25.1885167464115,1,0,0,0,0,0
0,2,5.63297413793104,93.6477262931035,1142.22306034483,12.1303879310345,0,0,0,0,0,1
0,2,21.9428989751098,45.5008491947291,1244.68521229868,48.484626647145,0,0,0,0,0,1
