"presence","fold","bio01","bio04","bio08","bio09","bio12","bio15","bio18","forest","shrub","grass","wetland","crop","urban"
0,2,8.55620985010707,56.2358029978587,2.24625267665953,15.8434689507495,2512.8704496788,68.9710920770878,152.886509635974,1,0,0,0,0,0
0,2,22.1935294117647,44.8966470588235,27.3904411764706,17.1,1220.21470588235,49,525.902941176471,0,0,0,0,0,1
0,2,6.2,113.250900621118,17.6099378881988,-9.1,286.262939958592,70.8830227743271,134,0,0,0,0,1,0
1,2,17.9093663911846,48.8429338842975,12.7721763085399,24.0539944903581,276.28650137741,79.7520661157025,18.1790633608815,0,0,0,0,0,1
0,3,10.3995570321152,83.2992580287929,0.3,20.4,308.236987818383,37.6821705426357,41,0,0,0,0,1,0
1,2,17.221610738255,50.7800402684564,11.8873825503356,23.7148993288591,316.344966442953,83.3181208053691,19.0671140939597,0,0,0,0,0,1
0,3,19.307570977918,25.9898738170347,21.2020504731861,16.8287066246057,795.212933753943,84.2444794952681,234.891167192429,1,0,0,0,0,0
0,3,10.4,83.311820199778,0.339733629300777,20.4463928967814,307.820199778024,37.7092119866815,41,0,0,0,0,1,0
0,3,5.88817567567568,98.196036036036,1.09932432432432,-5.98265765765766,1177.54279279279,10,306.445945945946,1,0,0,0,0,0
1,3,13.9376943005181,40.4675,9.24028497409327,18.7980569948187,762.738341968912,86.7059585492228,15.3186528497409,1,0,0,0,0,0
0,1,-4.14200743494424,115.392633209418,10.9122676579926,-11.3213135068154,401.265799256506,66,207.182156133829,0,1,0,0,0,0
0,3,10.4,83.2946298342542,0.3,20.401546961326,291.806629834254,35.8375690607735,40.2596685082873,0,0,0,0,0,1
1,2,17.7882113821138,42.430027100271,13.3186991869919,21.1850948509485,272.056910569106,65.2791327913279,27.5420054200542,0,0,0,0,0,1
1,2,16.2347553324969,60.276035131744,8.6,23.7607277289837,489.084065244667,87.8356336260979,9,0,0,0,0,0,1
0,2,15.83568,20.419664,17.68608,12.90128,753.6176,96.0272,259.6144,0,0,0,0,0,1
0,3,10.5,83.305383759733,0.516351501668521,20.7127919911012,320.349276974416,37.2925472747497,42.3181312569522,0,0,0,0,0,1
0,2,5.58261339092873,94.347019438445,-3.63358531317495,13.0638228941685,1142.08531317495,12.0259179265659,266.109071274298,1,0,0,0,0,0
0,3,10.1993377483444,83.2385540838852,0.171192052980132,20.2620309050773,326.700883002207,38.0629139072848,42.4690949227373,0,0,0,0,1,0
0,3,9.89469879518072,99.4425903614458,22.2007228915663,-3.5,921.88313253012,28,300,0,0,0,0,0,1
0,2,19.6,62.0503552397869,26.8,15.8,1508.14742451155,28,511.98756660746,0,0,0,0,0,1
1,2,8.4811320754717,37.1441509433962,6.79056603773585,13.0811320754717,2595.43396226415,41,386.905660377359,1,0,0,0,0,0
0,3,12.0780669144981,99.6544609665428,22.1887236679058,-1.29219330855019,865.291201982652,51,324.685254027262,0,0,1,0,0,0
0,2,4.53326315789474,120.697957894737,16.9469473684211,-11.8046315789474,447.622105263158,67,214,0,0,1,0,0,0
1,1,13.0448412698413,40.2946957671958,8.56084656084656,18.109126984127,898.851851851852,87.1455026455027,16.4338624338624,1,0,0,0,0,0
0,2,16.1628352490421,61.4146232439336,8.75351213282248,23.8855683269476,588.315453384419,83.2745849297574,12.6168582375479,0,0,0,0,0,1
1,3,10.7101990049751,90.8128109452736,9.76069651741294,22.7601990049751,422.817164179104,26.9004975124378,70,0,0,0,0,0,1
0,2,11.8074683544304,85.2787974683544,20.4963291139241,0.428354430379747,975.546835443038,14,280.951898734177,0,0,0,0,1,0
0,2,19.5229344729345,61.5975783475783,26.767094017094,15.8,1537.95441595442,27.494301994302,529.07264957265,0,0,0,1,0,0
0,1,5.37606093579978,99.274972796518,0.9,-2.21512513601741,1072.10881392818,11,263.151251360174,1,0,0,0,0,0
1,2,8.76634512325831,50.9504501607717,3.12990353697749,15.2936763129689,2459.00964630225,61.983922829582,175.468381564845,1,0,0,0,0,0
0,3,9.8,100.203201911589,22.1930704898447,-3.70692951015532,928.801672640382,28.7216248506571,302.011947431302,0,0,0,0,0,1
1,1,12.8270618556701,39.2953350515464,8.5895618556701,17.7926546391753,900.20618556701,85.4149484536082,17,1,0,0,0,0,0
0,1,16.807074829932,69.1194965986395,25.4006802721088,12.867074829932,1340.76734693878,31,485.887074829932,1,0,0,0,0,0
0,2,21.1531571218796,48.1125697503671,26.83906020558,15.7627019089574,1372.86196769457,45,565.176211453745,0,0,0,0,0,1
0,3,10.3270718232044,83.2871491712707,0.292707182320442,20.3927071823204,315.187845303867,37.8375690607735,41,0,0,0,0,0,1
